Transaction_ID,Customer_ID,Invoice_Number,Transaction_Date,Invoice_Amount,Payment_Date,Discount_Applied,Refund_Issued,Transaction_Type,Anomaly_Tag
T100000,C6727,INV10000,2024-05-03,1935.25,2024-05-14,275.98,141.66,Payment,Normal
T100001,C9408,INV10001,2024-06-20,3033.43,2024-07-05,70.99,47.32,Payment,Normal
T100002,C9253,INV10002,2024-02-14,384.61,2024-02-28,49.97,23.12,Payment,Normal
T100003,C8384,INV10003,2024-03-14,3569.56,2024-04-05,11.02,346.22,Payment,Normal
T100004,C4239,INV10004,2024-12-20,4178.97,2024-12-23,133.1,75.98,Payment,Normal
T100005,C4467,INV10005,2024-04-28,998.68,2024-05-06,45.58,52.41,Payment,Normal
T100006,C7453,INV10006,2024-10-04,2216.53,2024-10-29,96.83,135.62,Payment,Normal
T100007,C6899,INV10007,2024-04-13,783.52,2024-05-05,34.34,28.71,Payment,Normal
T100008,C9932,INV10008,2024-11-28,2334.74,2024-12-25,274.98,46.62,Payment,Normal
T100009,C9747,INV10009,2024-11-03,2619.75,2024-11-08,232.8,12.17,Payment,Normal
T100010,C8026,INV10010,2024-11-06,3076.97,2024-11-07,78.7,20.02,Payment,Normal
T100011,C4312,INV10011,2024-09-11,4749.54,2024-09-16,687.95,383.95,Payment,Normal
T100012,C6249,INV10012,2024-03-03,1592.61,2024-03-14,23.33,108.97,Payment,Normal
T100013,C8252,INV10013,2024-02-18,2256.75,2024-03-14,41.31,111.75,Payment,Normal
T100014,C1890,INV10014,2024-06-26,268.5,2024-07-12,36.62,6.95,Payment,Normal
T100015,C6318,INV10015,2024-09-29,3346.36,2024-10-14,156.46,174.03,Payment,Normal
T100016,C7941,INV10016,2024-11-04,2778.88,2024-11-16,77.05,269.44,Payment,Normal
T100017,C4171,INV10017,2024-05-21,3898.15,2024-06-18,549.35,348.82,Payment,Normal
T100018,C8895,INV10018,2024-05-15,3029.71,2024-05-29,418.95,26.81,Payment,Normal
T100019,C4943,INV10019,2024-07-30,1060.32,2024-08-09,7.19,34.5,Payment,Normal
T100020,C5319,INV10020,2024-06-05,2004.52,2024-06-05,81.59,166.12,Payment,Normal
T100021,C6225,INV10021,2024-01-19,1848.09,2024-02-17,77.88,100.3,Payment,Normal
T100022,C9044,INV10022,2024-02-17,790.53,2024-02-21,95.12,5.89,Payment,Normal
T100023,C2393,INV10023,2024-02-22,4935.75,2024-03-04,571.74,98.08,Payment,Normal
T100024,C2053,INV10024,2024-09-06,127.06,2024-09-10,15.54,8.98,Payment,Normal
T100025,C2536,INV10025,2024-01-21,3672.14,2024-02-10,424.83,27.19,Payment,Normal
T100026,C6629,INV10026,2024-11-12,1856.48,2024-12-09,32.27,160.23,Payment,Normal
T100027,C2331,INV10027,2024-12-14,3154.16,2024-12-24,156.56,20.05,Payment,Normal
T100028,C5152,INV10028,2024-03-19,1623.81,2024-03-22,79.21,118.47,Payment,Normal
T100029,C5917,INV10029,2024-11-25,3224.03,2024-12-22,429.06,152.24,Payment,Normal
T100030,C4593,INV10030,2024-10-22,686.01,2024-11-14,73.39,52.19,Payment,Normal
T100031,C8789,INV10031,2024-08-04,2850.26,2024-08-30,329.62,140.74,Payment,Normal
T100032,C6387,INV10032,2024-11-01,2661.39,2024-11-03,170.68,6.77,Payment,Normal
